X : 1 if unit j processes task i starting at time t
    Size=1015, Index=X_index
    Key                      : Lower : Value : Upper : Fixed : Stale : Domain
           ('Mix', 'Mix', 0) :     0 :   0.0 :     1 : False :  True : Binary
           ('Mix', 'Mix', 1) :     0 :   1.0 :     1 : False :  True : Binary
           ('Mix', 'Mix', 2) :     0 :   0.0 :     1 : False :  True : Binary
           ('Mix', 'Mix', 3) :     0 :   0.0 :     1 : False :  True : Binary
           ('Mix', 'Mix', 4) :     0 :   0.0 :     1 : False :  True : Binary
           ('Mix', 'Mix', 5) :     0 :   0.0 :     1 : False :  True : Binary
           ('Mix', 'Mix', 6) :     0 :   0.0 :     1 : False :  True : Binary
           ('Mix', 'Mix', 7) :     0 :   0.0 :     1 : False :  True : Binary
           ('Mix', 'Mix', 8) :     0 :   0.0 :     1 : False :  True : Binary
           ('Mix', 'Mix', 9) :     0 :   0.0 :     1 : False :  True : Binary
          ('Mix', 'Mix', 10) :     0 :   0.0 :     1 : False :  True : Binary
          ('Mix', 'Mix', 11) :     0 :   0.0 :     1 : False :  True : Binary
          ('Mix', 'Mix', 12) :     0 :   1.0 :     1 : False :  True : Binary
          ('Mix', 'Mix', 13) :     0 :   0.0 :     1 : False :  True : Binary
          ('Mix', 'Mix', 14) :     0 :   0.0 :     1 : False :  True : Binary
          ('Mix', 'Mix', 15) :     0 :   0.0 :     1 : False :  True : Binary
          ('Mix', 'Mix', 16) :     0 :   0.0 :     1 : False :  True : Binary
          ('Mix', 'Mix', 17) :     0 :   0.0 :     1 : False :  True : Binary
          ('Mix', 'Mix', 18) :     0 :   0.0 :     1 : False :  True : Binary
          ('Mix', 'Mix', 19) :     0 :   0.0 :     1 : False :  True : Binary
          ('Mix', 'Mix', 20) :     0 :   0.0 :     1 : False :  True : Binary
          ('Mix', 'Mix', 21) :     0 :   0.0 :     1 : False :  True : Binary
          ('Mix', 'Mix', 22) :     0 :   0.0 :     1 : False :  True : Binary
          ('Mix', 'Mix', 23) :     0 :   0.0 :     1 : False :  True : Binary
          ('Mix', 'Mix', 24) :     0 :   0.0 :     1 : False :  True : Binary
          ('Mix', 'Mix', 25) :     0 :   0.0 :     1 : False :  True : Binary
